PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO440788,CHILD AND FAMILY SERVICES,MEDICAL CONSULTING 78,$38480.00,10/01/2012,LAKIESHA HARDY,3813 SWANN ROAD #103   ; SUITLAND  ; MD  ; 20746-,SUITLAND  ,MD
PO440634,DEPARTMENT OF MENTAL HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$7350.00,10/01/2012,JAMES H. HUTCHINSON MD,5415 KIRKWOOD DRIVE  ; BETHESDA  ; MD  ; 20816,BETHESDA  ,MD
PO440857,DEPARTMENT OF MENTAL HEALTH,"PLASTIC AND STYROFOAM PRODUCTS: CUPS, FORKS, PLASTIC COATED DISHES, PLASTIC FOOD WRAP, COOKING BAGS, SANDWICH BAGS, SPOONS, STRAWS, DOILIES, ETC. 60",$12476.83,10/01/2012,"CMARK CONSTRUCTION, INC.",9570 TWO NOTCH ROAD SUITE 4  ; COLUMBIA  ; SC  ; 29223,COLUMBIA  ,SC
PO440897,DEPARTMENT OF MENTAL HEALTH,MEDICAL CONSULTING 78,$4895.00,10/01/2012,MEKEDES MENISHER,7810 VANITY FAIR DRIVE  ; GREENBELT  ; MD  ; 20770,GREENBELT  ,MD
PO380151-V2,STATE SUPERINTENDENT OF EDUCATION (OSSE),TRUCK AND VAN MAINTENANCE AND REPAIR (NOT OTHERWISE CLASSIFIED) 86,$3713.95,10/01/2012,BEST CAPITOL AUTO BODY,1225 W. STREET NORTHEAST   ; WASHINGTON   ; DC  ; 20018,WASHINGTON   ,DC
PO440670,CHILD AND FAMILY SERVICES,MEDICAL CONSULTING 78,$100000.00,10/01/2012,OLAYINKA AKINLOLU,4702 SOMERSET ROAD  ; RIVERDALE   ; MD  ; 20737,RIVERDALE   ,MD
PO440619,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7250.00,10/01/2012,SPRINGLE ENTERTAINMENT GROUP,3870 E. FLAMINGO RD. A2-250  ; LAS VEGAS  ; NV  ; 89121,LAS VEGAS  ,NV
PO441061,DEPARTMENT OF MENTAL HEALTH,HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48,$4500.00,10/01/2012,"ROBERT BENEDETTI, PH.D.","117 TENNESSEE AVENUE, NE  ; WASHINGTON  ; DC  ; 20002",WASHINGTON  ,DC
PO440902,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$9000.00,10/01/2012,TOMMY A. DAVIDSON,3800 WESLIN AVENUE  ; SHERMAN OAKS  ; CA  ; 91423,SHERMAN OAKS  ,CA
PO440620,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$7250.00,10/01/2012,ASSOCIATED BOOKING CORP.,501 MADISON AVE.  ; NEW YORK CITY  ; NY  ; 10022,NEW YORK CITY  ,NY
PO440734,CHILD AND FAMILY SERVICES,MEDICAL CONSULTING 78,$33600.00,10/01/2012,CAMILLE L. BARNES,7616 BURNSIDE ROAD  ; HYATTSVILLE  ; MD  ; 20785,HYATTSVILLE  ,MD
